LANGUAGE=ESPERANTO
abako;abacus
groŝo;groschen
groteska;grotesque
groto;cave, grotto
grumbli;to growl, grumble
grumblulo;grouser, grumbler
grumo;groom, stableman
grunda disfalo;landslide
grundi;to strand
grundo;ground, soil
grundtavolo;layer, layer of earth
grupiĝi;form a group
grupo;group
gruzo;gravel, grit
gubernatoro;governor
gubernio;province
gudri;tar
gudro;tar
gulaŝo;goulash, stew
gumi;to erase
gumo;eraser, gum
gusti;taste
gustigi;to flavor, flavour, season
gusto;taste
gustumi;taste
gustumo;taste, sense of taste
guteto;droplet
guti;to drip
gutmalsekigi;to baste
guto;drip, drop
guverni;coach, tutor
guvernistino;governess
guvernisto;tutor
gvardio;guard
gvati;to keep an eye on, spy on
gvatsekvi;tail, shadow
gvida ideo;leitmotif, leitmotiv
gvidanto;leader
gvidi;conduct, direct, guide, head, lead
gvidilo;guide-book
gvidisto;guide
gvidlibro;handbook, guide, guidebook
gvidmarki;to beacon
gvidmarkilo;beacon
gvido;guide
ĝangalo;jungle
ĝardenisto;gardener
ĝardeno;garden
ĝardenumado;gardening
ĝemela;twin
ĝemelduo;twins
ĝemelo;twin
ĝemi;to groan, moan
ĝena;nasty, troublesome
ĝendarmo;gendarme, patrolman
ĝenerala;general, usual
ĝeneraleco;generality, universality
ĝeni;bother, disturb, hinder, trouble
ĝeni sin;be ashamed
ĝeno;trouble
ĝenro;genre
ĝentila;courteous, polite, well-mannered
ĝentilaĵo;courtesy
ĝentileco;politeness
ĝentilhomeca;gentlemanlike, ladylike
ĝentilhomo;gentleman
ĝentlemaneca;gentlemanlike
ĝentlemanineca;ladylike
ĝentlemanino;lady
ĝentlemano;gentleman
ĝermi;to germinate
ĝermo;germ
ĝi;to it
ĝia;its
ĝiba;hunch-backed
ĝibhava;hunch-backed
ĝibo;bump, hump
ĝibulo;hunchback
ĝin;it
ĝino;gin
ĝirafo;giraffe
ĝiranto;endorser
ĝirato;endorsee
ĝiri;to endorse
ĝiro;endorsement
ĝis;until, till
ĝis nun;yet
ĝis revido;bye, goodbye, so long
ĝisatendi;to bide, abide, stay for, wait, await, wait for
ĝisfunde;thoroughly
ĝisosta;diehard
ĝisvivi;go through, live to see
ĝogi;jog
ĝoja;happy, glad
ĝojeco;gladness, joy
ĝoji;to be glad, enjoy, rejoice
ĝojiga;joyful
ĝojigi;to make glad
ĝojo;gladness, joy
ĝuamo;hedonism
ĝui;to delight in, enjoy
ĝusta;correct, exact, proper, right
ĝustatempe;at the right time, in time
ĝuste;just, exactly, okay, right
ĝustigi;to adjust, put right
ha;ah, aha
ha lo;hello
haĉi;to hatch, shade
hagano;inhabitant of The Hague
hajlero;hailstone
hajlo;hail
haketi;to chop, dice, mince
haki;to chop, cut, hack
hakilo;axe
hakviando;hamburger meat
haladza;fumy
haladzi;to fume
haladzo;fume
halebardo;halberd
haliotiso;abalone, ear shell, haliotis
halo;hall
haloo;halo
haltejo;stop
halti;to halt, come to a halt, stop
halti en;call at
haltigi;to halt, stop
haltostreko;break
haltstreko;break
hamako;hammock
hamburgero;hamburger
hanti;to haunt
hararo;hair
hararzono;hair ribbon, fillet
hardi;to harden, temper
haremo;harem
harfendado;hair-splitting
harfendemulo;hair-splitter, niggler, nit-picker
haringo;herring
harkovrita;hairy, hirsute
harmonia;harmonious
harmonii;to fit together, harmonize
harmoniko;harmonica
harmonio;harmony
haro, haroj;hair, hairs
harpio;harpy
harpo;harp
harstariga;eerie, grisly, gruesome, macabre
hasta;hurried
hasto;haste
haŝiŝo;hashish
haŭto;skin
haŭtveziketo;blister
havebla;available
haveno;harbor, harbour, port
havi;to have, have got
havi diareon;have diarrhoea
havi intereson pri;to be interested in, have an interest in
havi malbonŝancon;have bad luck
havi permeson;be allowed to, may
havigi;to get, procure
havigi al si;to buy, get, procure
hazarda;accidental, chance, random
hazardluda turbo;put-and-take top, teetotum
hazardo;accidence, chance, hazard
he;hey, say
hedero;ivy
heĝo;hedge
heĝtondilo;hedge clippers, hedge shears
hejma;domestic
hejmeca;homy
hejmen;home
hejmo;home
hejmsidema;stay-at-home
hejmveo;homesickness
hejmvesto;dressing-gown
hejtado;heating
hejtaĵo;fuel
hejti;to heat, stoke
hejtilo;heater
hektolitro;hectolitre
hela;bright, clear, light
helblua;bright blue
heleboro;hellebore
helianto;sunflower
helico;helix, propeller
heliĝi;to clear
helika konko;snail-shell
heliko;snail
heliumo;helium
helpa;auxilary
helpantino;assistant, lady help
helpanto;aid, assistent, helper
helpema;accommodating, helpful
helpemo;helpfulness, readiness to help
helpi;to accomodate, aid, assist, help
helpi malsupreniri;to help down, help off
helpo;aid, help
hemeralopio;night-blindness, nyctalopia
hemisfero;hemisphere
hemoroido;haemorrhoid, hemorrhoid, pile
heni;to whinny
hepatito;hepatitis
hepato;liver
heraldiko;heraldry
herbejo;meadow
herbo;grass, herb
hereda;hereditary
heredaĵo;inheritance
heredanto;heir
heredeco;heredity
heredi;to inherit
heredigi;to bequeath, leave
herezo;heresy
herezulo;heretic
heroa;heroic
heroeco;heroism
heroeno, heroino;heroin
heroldi;to herald
heroldo;herald
heroo;hero
herpato, herpeto;herpes
hezitado;hesitation, wavering
hezitanta;hesitant
hezitema;irresolute, undecided
heziti;to hesitate
hezito;hesitation
hiato;gap
hibisko;hibiscus
hibrida;hybrid, mongrel
hidrargo;quicksilver
hidrofobio;hydrophobia
hieno;hyaena, hyena
hieraŭ;yesterday
hieraŭ vespere;last night
hieraŭa;yesterday, of yesterday
higieno;hygiene
himno;anthem, hymn
hino;hinny
hipnotigi;to hypnotize
hipnotisto;hypnotist
hipnoto;hypnosis, hypnotic trance
hipokrita;hypocritical
hipokriti;to dissemble
hipokritulo;hypocrite
hipopotamo;hippo, hippopotamus
hipoteko;mortgage
hipoteza;hypothetical
hipotezi;to hypothesize
hipotezo;hypothesis
hirta;bristly, standing on end, untidy
hirti;to bristle
hirtigi;tousle
hirudo;leech
hirundo;swallow
hisi;hoist, hoist up, run up, wind up
hisilo;halyard
histerio;hysteria
historio;story, history
histriko;porcupine
ho;oh
ho ve;alas, oh dear
hobio;hobby
hobojo;oboe
hodiaŭ;today, to-day
hodiaŭ matene;this morning
hodiaŭ posttagmeze;this afternoon
hodiaŭ vespere;this evening
hodiaŭa;current, present, present-day
hoj;ahoy
hoka;hook
hokeo;hockey
hokfadeno;line
hokfiŝilo;fishing rod
hoko;hook
hola;hey
holdo;hold
homa;human
homamaso;crowd, mass, multitude
homamo;charity, love of one's neighbour
homaro;human race, mankind
hombuĉado;massacre
homekipi;to man
homekipo;crew
homo;man, human being
homportilo;stretcher
homrabanto;abductor
homrabi;to abduct
homrabo;abduction
honesta;above-board, honest
honora;honorary
honora protektanto;patron
honorario;fee
honori;honor, honour
honorindeco;respectability, venerability
honoro;honor, honour
honta;ashamed
honti;to be ashamed
hontiga;humiliating
hontigi;to abash, put to shame
hontinda;shameful
honto;abashment, shame
hop;gee-up
hopi;hop
horaro;schedule, time-table
hordeo;barley
hordo;band, horde, troop
horizontala;horizontal, level
horizonto;horizon
horloĝeto;watch
horloĝisto;watchmaker
horloĝo;clock, watch
horo;hour, o'clock, time
hororo;horror
horoskopo;horoscope
hospitalo;hospital
hotelo;hotel
hu;boo
hufferi;to shoe
huffero;horseshoe
hufo;hoof
hufoferi;to shoe
humana;humane
humanisto;humanist
humida;damp, humid, moist
humideco;damp
humila;humble
humileco;humility
humiliga;humiliating
humiligi;to abase
humiligo;abasement
humiliĝi;to abase oneself, humble oneself
humiliĝo;abasement
humo;humus
humoro, humuro;humor, humour, mood, temper
hunda;canine
hundaĉo;monster
hundo;dog
hupo;hooter
hura;hurray
hurai;to cheer
hurao;cheer
hurli;to howl
hurlo;howl
ĥaoso;chaos, tangle
ĥemiisto;chemist
ĥemio;chemistry
ĥimera;chimerical
ĥirurga;surgical
ĥirurgio;surgery
ĥirurgo;surgeon
ĥolero;cholera
ĥorejo;coir loft
ĥoro;chorus, coir
ia;some kind of
iagrade;to some extent
iai;to bray
ial;for some reason
iam;at some time, ever, sometime
ibekso;ibex
ibiso;ibis
idaro;offspring
ideala;ideal
idealisto;idealist
idealo;ideal
idekonfuzo;confusion of ideas
identa;identical
identigi;to identify
idento;identity
ideo;idea
ideografio;picture writing
ideologio;ideology
idilio;idyll
idiomo, idiotismo;idiom
idiota;idiotic
idioteco;idiocy
idioto;idiot
ido;child, offspring, young
idolano;idolator
idolfiguro;idol
idolkulto, idolservo;idolatry, idol worship
idolo;idol
ie;anywhere, somewhere
iel;anyway, somehow
ien;somewhere, to some place
ies;someone's
igi;to cause, get, make
ignamo;sweet potato, yam
ignori;to ignore
igvano;iguana
iĝi;to become, get, grow
iĝi la edzino de;become the wife of, marry
iĝi la edzo de;become the husband of, marry
iksodo;tick
ilekso;holly
ili;them, they
ilia;their
ilin;them
ilo;means, tool
ilumini;to enlighten, illuminate
ilustraĵo;illustration
ilustri;to illustrate
ilustrita poŝtkarto;picture postcard
iluzia;misleading
iluzii;to delude
iluziisto;magician
iluzio;illusion
imagi;to fancy, imagine
imago;imagination
imiti;to imitate
imito, imitado, imitaĵo;imitation
imperialismo;imperialism
imperiestrino;empress
imperiestro;emperor
imperiismo;imperialism
imperiisto;imperialist
imperio;empire
impertinenta;impertinent
impertinenteco;impertinence
impertinentulo;boor
impeti al;rush at
impeto;impetus
implici;to imply
implikaĵo;tangle
implikanta;confusing
impliki;to entangle, implicate
impona;imposing
imponeco;airs
imponi;to impress, strike
importi;to import
impostdeklaro;return, tax return
impostdepreno;tax deduction
impostebla;subject to tax
imposti;tax
impostisto;revenue agent, tax collector
impostkonsilisto;tax consultant
impostkvoto;assessment
impostmalplialtigo;tax abatement, tax reduction, tax relief
imposto;tax
impostoficejo;tax-collector's office
impostpaganto;ratepayer, taxpayer
impostplialtigo;tax hike, tax increase
impostpremo;tax burden
impostsistemo;fiscal system, system of taxation, tax system
impotenta;impotent
impresebla;accessible, impressible, sensitive
impresi;to impress
impresiĝema;impressable, sensitive
impresionismo;impressionism
impresionisto;impressionist
impreso;impression
impulsi;to impel
impulso;access, impetus, impulse
imputi;to blame, hold against
imputo;imputation
imuna;immune
ina;female, feminine
inaŭgura;inaugural
inaŭguracii;to inaugurate
inaŭguri;to inaugurate
inaŭguro;inauguration
incendio;conflagration, fire
incenso;incense
incensujo;censer, incensory, thurible
incesto;incest
incitanto;firebrand, instigator
inciteti;tease
inciti;to abet, excite, incite, provoke, rouse, stimulate, stir up
inda;deserving, worthy
indeksi;to index
indekso;index
indi;to be worth, be worthy of
indico;index
indiferenta;immaterial, indifferent
indigestio;dyspepsia, indigestion
indigna;indignant
indigni;to be indignant
indignigi;to annoy
indigno;offence, scandal
indiĝena;aboriginal, native
indiĝena aŭstraliano;aboriginal, aborigine
indiĝenaŭstralia;aboriginal, aborigine
indiĝenaŭstraliano;aboriginal, Australian aboriginal
indiĝeno;aboriginal, native
indikativo;indicative, indicative mood
indiki;to indicate, suggest
indiko;indication
individuo;individual
indo;value, worth
indulga;lenient
indulgenco;indulgence
indulgi;to be lenient with, indulge, spare
industria;industrial
industria fako;industrial branch
industriisto;industrialist
industrio;industry
inerta;inert
infana;childish
infaneca;childish
infaneto;baby
infanlito;child's bed, cot
infano;child, infant
infanprostituado;child prostitution
infanterio;infantry
infekta;catching, contagious, infectious
infekta centro;source of infection
infektado;contagion, contamination, infection
infekti;to infect
infekto;infection
infera;infernal
infero;hell
infesti;to infest
infesto;infestation
inflacio;inflation
inflamo;inflammation
influi;to affect, influence
influo;influence
informaĵo;information
informejo;inquiry-office
informi;to inform, report
informiĝi;to be advised, find out
informo;information
infuzaĵo;extract, infusion
infuzi;to infuse
ingo;holder, socket
ingredienco;component, element, ingredient, part
ingveno;groin
inĝeniero;engineer
inicialo;initial
iniciati;to initiate, start
iniciatinto;instigator
injekti;to inject
injektilo;syringe
injekto;injection
inkandeska;incandescent
inklina;inclined
inklini;to incline, be inclined
inklino;disposal, inclination, tendency
inkluziva;inclusive
inkluzive de;including
inkluzivi;to include
inko;ink
inkubo;incubus, nightmare
inkubsonĝo;nightmare
inkujo;well, ink-well
inkuso;anvil, incus
ino;female
inokuli;to inoculate
insektforpelilo;repellent, insect repellent
insekto;bug, insect
insida;insidious
insidanto;attacker, enemy
insidi;to set a trap, set a trap for
insidi kontraŭ;beset, threaten
insido;snare
insigno;badge, insignia
insista;emphatic
insistadi;to persevere, persist, pursue one's point
insistado;insistence, pressure, urgency
insisti;to insist
insisto;insistence, pressure, urgency
inskripcio;inscription
inspektado;inspection
inspekti;to inspect
inspektisto;inspector
inspekto;inspection
inspektoro;inspector
inspira;inspiring
inspiraĵo;inspiration
inspiri;to inspire
inspiro;inspiration
instali;to install
instanco;authoritative source, court
instiga kaŭzo;inducement, occasion, motive
instiga okazaĵo;inducement, motive, occasion
instigi;to encourage, impel, instigate, spur on, stimulate, urge
instigilo;prompt
instigo;impetus, incitement, stimulus
instinkto;instinct
institucio;institution
instituto;institute
instruado;education
instrui;teach
instruistino;teacher, female teacher
instruisto;instructor, teacher
instrukcii;to instruct
instrukcio;directions, instruction
instrumento;instrument
instruo;instruction
insularo;archipelago
insulo;island
insulta;insulting, offensive, opprobrious
insultado;abuse
insulti;to abuse, insult, offend
insulto;abuse, insult
integra;integral
integrita cirkvito;integrated circuit
intelekto;intellect, mind
intelektulo;intellectual
inteligenta;intelligent, sagacious
inteligenteco;intelligence
inteligento;intelligence
intenca;intentional
intenci;to intend, mean
intenco;intention, meaning, plan
intendantino;matron
intendanto;steward, superintendant
intensa;intense, intensive
inter;among, between
inter ... kaj;... to, from ... to, of ... to
interbatali;to be at loggerheads, tussle
interbatiĝi;to fight
interbatiĝo;scuffle
interdigigi;to dam in, dam up, embank
interesa;interesting
interesi;to interest
interesiĝi;to be interested, take an interest
interesiĝo;interest
intereskomunumo;community of interests
intereso;interest
interesto;interest
interfaco;interface
interjekcio;interjection
interkompreno;mutual understanding
interkonsenti;to agree
interkonsenti rendevuon;make an appointment
interkonsento;accommodation, agreement
interkonsiliĝi;to deliberate
interkonsiliĝo;consultation, deliberation
interkvereli;to be at loggerheads, tussle, quaral
interligi;connect, join
interligiteco;connection
intermita;intermittent
intermita febro;tertian fever
intermiti;to occur intermittently
intermonto;defile, mountain pass
interna;inner, inside, internal
internacia;international
internaĵo;inside
interne;inside
interne de;inside, within
internen;inside, inwards
interno;inside, interior
interparolado;conversation
interparoli;converse
interpreti;to interpret
interpretilo;interpreter
interpretisto;interpreter
interpreto;interpretation
interpunkcii;to punctuate
interpunkcio;interpunction, punctuation
interrilati kun;associate with
interrilato;relation, understanding
interrompi;to interrupt
interrompo;interruption
interstacia bloko;section
interŝanĝi;to interchange, swap
interŝanĝo;exchange
intertempe;all the while, meanwhile
intervalo;interval
interveni;to intervene
intervjui;to interview
intervjuo;interview
intestaro;intestines
intesto;intestine
intima;close, intimate
intima interparolo;private talk
intrigi;to intrigue
intrigo;plot
inundi;to flood
inundo;flood
invadi;to invade
invado;invasion
invalida;disabled
invalido;disabled person
inventaĵo;invention
inventaro;inventory
inventi;to invent
inventisto;inventor
invento;invention
inversa;reverse, reversed
inversigi;turn
investado;investment
investanto;investor
investi;to invest
inviti;to invite
invito;invitation
iom;a little, rather, some, somewhat, to some extent
iom post iom;gradually, little by little
iomete;a little, rather
iperito;mustard-gas
iranta sampaŝe;abreast
irebla;passable, practicable
irejo;path, road, way
iri;go
iri al kinejo;go to the cinema, go to the movies
iri kun;accompany
iri plue;pass on
iri rekte al;go straight to
iri sub;go under
ironio;irony
irorevena bileto;return-ticket
irpreni;to fetch, get, pick up
itinero;route
iu;a, any, anybody, some, somebody, one, someone, some one
iu ajn;any
iuj;a few, some
izola;isolated, secluded
izolado;insulation, isolation
izoleco;isolation, separation
izoli;to insulate, isolate, seclude
izolilo;insulator
izolita;remote
izoliteco;isolation, separation
ja;certainly, indeed, rather, surely
jado;jade
jaguaro;jaguaro
jako;jacket
jakto, jaĥto;yacht
jam;already, by now, yet
jam de;since
jam ne;no longer
jarcento;centennial, century
jardeko;decade
jardo;yard
jargono;gibberish, jargon, lingo
jarlibro;year-book
jarmilo;millenium
jaro;year
je;at, by, on, upon
je la fino;at the back, behind, in the rear
je via sano;cheers, good health
jen;behold, here is, here are, look, there
